Temp:26.13,Rele:1,Set Point:70,Tempo:37.27
Temp:26.13,Rele:1,Set Point:70,Tempo:37.83
Temp:26.06,Rele:1,Set Point:70,Tempo:38.39
Temp:26.06,Rele:1,Set Point:70,Tempo:38.95
Temp:26.06,Rele:1,Set Point:70,Tempo:39.51
Temp:26.13,Rele:1,Set Point:70,Tempo:40.07
Temp:26.06,Rele:1,Set Point:70,Tempo:40.63
Temp:26.06,Rele:1,Set Point:70,Tempo:41.19
Temp:26.13,Rele:1,Set Point:70,Tempo:41.75
Temp:26.06,Rele:1,Set Point:70,Tempo:42.31
Temp:26.13,Rele:1,Set Point:70,Tempo:42.87
Temp:26.13,Rele:1,Set Point:70,Tempo:43.43
Temp:26.06,Rele:1,Set Point:70,Tempo:43.99
Temp:26.06,Rele:1,Set Point:70,Tempo:44.55
Temp:26.06,Rele:1,Set Point:70,Tempo:45.10
Temp:26.13,Rele:1,Set Point:70,Tempo:45.67
Temp:26.13,Rele:1,Set Point:70,Tempo:46.23
Temp:26.13,Rele:1,Set Point:70,Tempo:46.78
Temp:26.13,Rele:1,Set Point:70,Tempo:47.34
Temp:26.13,Rele:1,Set Point:70,Tempo:47.91
Temp:26.13,Rele:1,Set Point:70,Tempo:48.46
Temp:26.13,Rele:1,Set Point:70,Tempo:49.02
Temp:26.13,Rele:1,Set Point:70,Tempo:49.58
Temp:26.13,Rele:1,Set Point:70,Tempo:50.14
Temp:26.13,Rele:1,Set Point:70,Tempo:50.70
Temp:26.06,Rele:1,Set Point:70,Tempo:51.26
Temp:26.06,Rele:1,Set Point:70,Tempo:51.82
Temp:26.06,Rele:1,Set Point:70,Tempo:52.38
Temp:26.13,Rele:1,Set Point:70,Tempo:52.94
Temp:26.13,Rele:1,Set Point:70,Tempo:53.50
Temp:26.13,Rele:1,Set Point:70,Tempo:54.06
Temp:26.13,Rele:1,Set Point:70,Tempo:54.62
Temp:26.13,Rele:1,Set Point:70,Tempo:55.18
Temp:26.13,Rele:1,Set Point:70,Tempo:55.74
Temp:26.13,Rele:1,Set Point:70,Tempo:56.30
Temp:26.13,Rele:1,Set Point:70,Tempo:56.86
Temp:26.13,Rele:1,Set Point:70,Tempo:57.42
